,Shipment_ID,Source_City,Destination_City,Food_Product,Vehicle_Type,Road_Type,Weather_Condition,Distance_km,Shipment_Weight_kg,Fuel_Price_INR_per_litre,Avg_Speed_kmph,Transit_Time_hours,Refrigeration_Cost_INR,Toll_Cost_INR,Driver_Cost_INR,Maintenance_Cost_INR,Total_Transportation_Cost_INR,Max_Allowable_Time_hours,Cost_per_km,Delay_Hours,Delay_Ratio,Shelf_Life_Utilization,Fuel_Cost_Index,Perishability_Risk_Index
10,SHP00011,Mumbai,Ahmedabad,Fresh Fruits,Mini Van,Urban Road,Foggy,228,9272,95.76,36,53.22,6769.38,2330.15,4392.27,2032.77,74332.85,62,326.0212719298246,0.0,0.0,0.8583870967741936,21833.28,0.4291935483870968
11,SHP00012,Indore,Bhopal,Fish,Refrigerated Truck,State Highway,Rainy,664,9067,106.91,60,57.5,968.65,293.71,3257.25,3477.1,108372.41,31,163.2114608433735,26.5,0.4608695652173913,1.8548387096774197,70988.23999999999,1.1578541374474054
12,SHP00013,Hyderabad,Bengaluru,Fish,Refrigerated Truck,National Highway,Hot,1804,15514,94.6,61,14.59,4885.34,4952.43,4882.16,1385.99,72806.57,60,40.35840909090909,0.0,0.0,0.2431666666666666,170658.4,0.1215833333333333
13,SHP00014,Mumbai,Bhubaneswar,Paneer,Non-Refrigerated Truck,National Highway,Hot,96,19861,93.95,59,69.87,9936.42,2381.97,7925.23,427.95,99626.83,37,1037.7794791666668,32.870000000000005,0.47044511235151,1.8883783783783783,9019.2,1.1794117453649442
14,SHP00015,Delhi,Patna,Milk,Non-Refrigerated Truck,State Highway,Foggy,265,13233,104.26,41,19.6,13699.98,668.54,1320.1,2363.44,62364.38,49,235.3372830188679,0.0,0.0,0.4,27628.9,0.2
15,SHP00016,Indore,Indore,Meat,Non-Refrigerated Truck,National Highway,Foggy,1496,13823,89.69,64,21.02,9419.88,2833.2,6387.31,788.01,73843.54,17,49.3606550802139,4.02,0.1912464319695528,1.236470588235294,134176.24,0.7138585101024234
16,SHP00017,Indore,Raipur,Fresh Fruits,Refrigerated Truck,State Highway,Rainy,1719,14008,111.01,39,14.49,7340.57,3032.98,1171.96,524.15,34809.73,65,20.249988365328683,0.0,0.0,0.2229230769230769,190826.19,0.1114615384615384
17,SHP00018,Raipur,Patna,Fresh Vegetables,Mini Van,National Highway,Rainy,1058,3113,96.63,55,6.94,1670.77,2908.8,2828.68,659.05,105777.1,59,99.97835538752364,0.0,0.0,0.1176271186440678,102234.54,0.0588135593220339
18,SHP00019,Lucknow,Mumbai,Paneer,Mini Van,State Highway,Hot,1286,17368,85.58,34,59.06,2598.97,4831.61,5938.86,708.23,36970.09,20,28.748125972006218,39.06,0.6613613274635963,2.9530000000000003,110055.88,1.8071806637317984
19,SHP00020,Ranchi,Hyderabad,Fresh Fruits,Refrigerated Truck,National Highway,Rainy,1057,15171,94.16,52,4.38,1275.31,1734.25,2923.8,2725.94,115790.96,67,109.54679280983918,0.0,0.0,0.0653731343283582,99527.12,0.0326865671641791
20,SHP00021,Patna,Raipur,Fish,Mini Van,State Highway,Clear,783,14140,108.55,38,35.54,10812.14,365.66,5275.18,2454.84,49353.28,45,63.031008939974456,0.0,0.0,0.7897777777777778,84994.65,0.3948888888888889
21,SHP00022,Patna,Ranchi,Fresh Fruits,Refrigerated Truck,State Highway,Clear,2188,7380,110.78,62,10.25,12550.83,4614.81,7767.64,1484.8,55055.64,36,25.16254113345521,0.0,0.0,0.2847222222222222,242386.64,0.1423611111111111
22,SHP00023,Indore,Raipur,Cheese,Mini Van,National Highway,Hot,364,13464,102.04,66,7.05,2884.36,1117.95,7123.13,1199.39,61577.59,39,169.16920329670327,0.0,0.0,0.1807692307692307,37142.560000000005,0.0903846153846153
23,SHP00024,Chennai,Jaipur,Frozen Peas,Refrigerated Truck,State Highway,Foggy,423,2210,93.82,59,67.56,5215.87,3797.36,6854.3,302.55,49099.16,46,116.07366430260048,21.56,0.3191237418590882,1.4686956521739132,39685.86,0.8939096970165007
24,SHP00025,Bengaluru,Bengaluru,Cheese,Non-Refrigerated Truck,Urban Road,Foggy,1336,18044,100.84,62,60.13,7447.06,1179.25,2354.79,887.89,71132.82,59,53.243128742514976,1.1300000000000026,0.0187926159986695,1.019152542372881,134722.24,0.5189725791857754
25,SHP00026,Pune,Delhi,Paneer,Mini Van,National Highway,Clear,417,6917,110.09,31,30.85,2570.4,4179.08,2902.48,2429.4,79746.22,20,191.2379376498801,10.85,0.3517017828200973,1.5425,45907.53,0.9471008914100486
26,SHP00027,Jaipur,Hyderabad,Fresh Vegetables,Non-Refrigerated Truck,State Highway,Foggy,427,16712,94.48,33,35.18,6534.77,4550.64,6513.08,2358.87,24804.44,71,58.09002341920375,0.0,0.0,0.4954929577464789,40342.96,0.2477464788732394
27,SHP00028,Pune,Nagpur,Curd,Non-Refrigerated Truck,National Highway,Rainy,878,14495,96.56,55,63.03,14519.07,705.71,6113.47,3024.77,100515.08,29,114.48186788154898,34.03,0.5399016341424718,2.173448275862069,84779.68000000001,1.3566749550022703
28,SHP00029,Bhubaneswar,Raipur,Ready-to-Eat Meals,Mini Van,National Highway,Clear,874,16321,101.19,59,58.18,10927.65,906.92,3039.31,422.03,81024.6,39,92.7054919908467,19.18,0.3296665520797525,1.4917948717948717,88440.06,0.910730711937312
29,SHP00030,Kolkata,Delhi,Ready-to-Eat Meals,Refrigerated Truck,State Highway,Hot,723,17114,111.61,64,51.03,2920.51,4641.39,4002.41,3241.91,90556.98,65,125.25170124481328,0.0,0.0,0.7850769230769231,80694.03,0.3925384615384615
30,SHP00031,Nagpur,Delhi,Curd,Non-Refrigerated Truck,Urban Road,Foggy,1669,3686,102.46,39,40.49,1932.81,3899.38,5539.75,2452.59,113103.58,23,67.76727381665668,17.490000000000002,0.4319585082736478,1.7604347826086957,171005.74,1.0961966454411718
31,SHP00032,Bhubaneswar,Bhopal,Fresh Fruits,Non-Refrigerated Truck,National Highway,Hot,1344,7353,91.23,60,45.33,6954.69,386.7,4678.7,1309.71,98090.4,33,72.98392857142856,12.329999999999998,0.272005294506949,1.3736363636363635,122613.12,0.8228208290716563
32,SHP00033,Jaipur,Nagpur,Curd,Refrigerated Truck,Urban Road,Hot,223,3062,87.67,44,30.75,14825.29,1074.56,4192.76,1911.66,75957.52,53,340.6166816143498,0.0,0.0,0.5801886792452831,19550.41,0.2900943396226415
33,SHP00034,Mumbai,Hyderabad,Ready-to-Eat Meals,Refrigerated Truck,Urban Road,Foggy,85,18915,87.85,50,39.91,12002.6,2177.97,1700.79,3257.69,39912.77,36,469.562,3.9099999999999966,0.0979704334753193,1.108611111111111,7467.249999999999,0.6032907722932151
34,SHP00035,Patna,Hyderabad,Milk,Mini Van,State Highway,Foggy,351,611,113.51,35,40.7,4750.29,4348.15,4044.72,2097.11,73645.66,45,209.8166951566952,0.0,0.0,0.9044444444444444,39842.01,0.4522222222222222
35,SHP00036,Pune,Delhi,Fish,Mini Van,State Highway,Clear,935,13720,109.67,30,62.81,881.07,925.08,7945.14,2919.82,11868.72,53,12.69381818181818,9.810000000000002,0.1561853208087884,1.1850943396226417,102541.45,0.670639830215715
36,SHP00037,Indore,Nagpur,Ready-to-Eat Meals,Refrigerated Truck,National Highway,Clear,2130,6407,107.98,39,18.87,6463.69,3675.87,3393.56,1807.54,76394.99,40,35.86619248826291,0.0,0.0,0.47175,229997.4,0.235875
37,SHP00038,Ahmedabad,Chennai,Ready-to-Eat Meals,Non-Refrigerated Truck,State Highway,Hot,1951,6752,99.89,31,20.77,2827.79,601.83,5857.98,2321.53,54682.42,61,28.02789338800615,0.0,0.0,0.3404918032786885,194885.39,0.1702459016393442
38,SHP00039,Patna,Lucknow,Milk,Refrigerated Truck,National Highway,Hot,1756,3649,105.18,38,18.34,3114.07,2442.41,4540.63,3381.47,84801.57,20,48.29246583143508,0.0,0.0,0.917,184696.08,0.4585
39,SHP00040,Chennai,Kolkata,Ready-to-Eat Meals,Mini Van,National Highway,Clear,1752,14340,88.82,46,43.38,2853.32,3699.17,6563.06,2137.62,37471.68,40,21.38794520547945,3.3800000000000026,0.0779160903642232,1.0845,155612.63999999998,0.5812080451821116
40,SHP00041,Nagpur,Lucknow,Fresh Fruits,Non-Refrigerated Truck,Urban Road,Hot,742,10454,103.63,45,51.27,10934.31,510.62,6237.92,2383.55,76212.53,71,102.71230458221024,0.0,0.0,0.7221126760563381,76893.45999999999,0.361056338028169
41,SHP00042,Raipur,Mumbai,Milk,Non-Refrigerated Truck,State Highway,Rainy,644,2220,109.32,31,20.22,1019.7,1180.35,7610.83,1862.01,96660.78,13,150.09437888198758,7.219999999999999,0.3570722057368941,1.5553846153846154,70402.08,0.9562284105607548
42,SHP00043,Kolkata,Kolkata,Fish,Mini Van,State Highway,Foggy,923,18980,86.86,45,50.03,8688.63,4000.68,5555.17,1005.46,16919.28,32,18.330747562296857,18.03,0.3603837697381571,1.5634375,80171.78,0.9619106348690786
43,SHP00044,Bhubaneswar,Hyderabad,Fresh Vegetables,Non-Refrigerated Truck,National Highway,Foggy,368,15315,93.88,64,46.71,11411.55,984.89,7634.37,3901.81,82933.47,62,225.3626902173913,0.0,0.0,0.7533870967741936,34547.84,0.3766935483870968
44,SHP00045,Ahmedabad,Pune,Cheese,Refrigerated Truck,Urban Road,Rainy,807,12135,88.31,57,25.83,2767.93,3404.17,1290.85,376.11,116573.44,39,144.45283767038413,0.0,0.0,0.6623076923076923,71266.17,0.3311538461538461
45,SHP00046,Kolkata,Ranchi,Fresh Vegetables,Mini Van,State Highway,Clear,1507,1021,92.81,42,19.63,13447.5,3282.5,3847.68,759.56,105727.12,70,70.15734571997345,0.0,0.0,0.2804285714285714,139864.67,0.1402142857142857
46,SHP00047,Mumbai,Pune,Milk,Non-Refrigerated Truck,Urban Road,Clear,2156,11664,108.18,35,63.96,1632.95,2697.89,5726.73,2937.05,21611.0,16,10.02365491651206,47.96,0.7498436522826767,3.9975,233236.08,2.3736718261413383
47,SHP00048,Hyderabad,Bhubaneswar,Milk,Mini Van,Urban Road,Hot,226,2923,94.96,54,42.74,10399.24,1168.21,4362.08,3040.54,56415.74,37,249.6271681415929,5.740000000000002,0.1343004211511465,1.155135135135135,21460.96,0.6447177781431408
48,SHP00049,Lucknow,Jaipur,Paneer,Non-Refrigerated Truck,National Highway,Hot,1615,5742,105.69,68,51.87,2993.48,2201.31,7525.23,878.74,32470.73,12,20.10571517027864,39.87,0.7686524002313476,4.3225,170689.35,2.545576200115674
49,SHP00050,Kolkata,Lucknow,Frozen Peas,Refrigerated Truck,State Highway,Clear,358,7231,108.2,55,66.92,12187.46,3184.49,1983.53,2645.13,13258.53,59,37.035,7.920000000000002,0.118350268977884,1.134237288135593,38735.6,0.6262937785567387
50,SHP00051,Bhubaneswar,Bhopal,Frozen Peas,Mini Van,State Highway,Hot,203,17518,109.5,44,17.97,8785.27,4432.28,4361.49,3574.09,95865.35,31,472.2431034482759,0.0,0.0,0.5796774193548386,22228.5,0.2898387096774193
51,SHP00052,Indore,Bhubaneswar,Milk,Non-Refrigerated Truck,State Highway,Rainy,1016,9864,111.2,31,27.84,9043.48,4029.7,6993.24,3261.35,100546.75,32,98.96333661417324,0.0,0.0,0.87,112979.2,0.435
52,SHP00053,Mumbai,Ranchi,Cheese,Refrigerated Truck,Urban Road,Foggy,2081,13812,102.93,51,33.54,5517.33,3115.25,6302.14,316.57,80382.36,13,38.62679481018741,20.54,0.6124031007751938,2.58,214197.33,1.596201550387597
53,SHP00054,Lucknow,Raipur,Paneer,Refrigerated Truck,State Highway,Rainy,1213,866,93.42,57,19.84,4607.31,1296.66,6538.47,449.36,15488.51,24,12.76876339653751,0.0,0.0,0.8266666666666667,113318.46,0.4133333333333333
54,SHP00055,Kolkata,Bhopal,Curd,Refrigerated Truck,National Highway,Foggy,434,6789,89.52,46,61.15,7218.16,1240.16,4236.95,2025.87,13874.1,60,31.96797235023041,1.1499999999999986,0.0188062142273098,1.0191666666666666,38851.68,0.5189864404469882
55,SHP00056,Nagpur,Indore,Meat,Non-Refrigerated Truck,Urban Road,Foggy,673,15448,100.11,52,9.67,11486.85,4106.66,3369.0,1602.8,69251.8,39,102.9001485884101,0.0,0.0,0.2479487179487179,67374.03,0.1239743589743589
56,SHP00057,Ranchi,Lucknow,Cheese,Non-Refrigerated Truck,State Highway,Hot,1106,4283,88.11,44,20.26,2939.19,3389.23,4544.39,645.09,108738.53,56,98.31693490054248,0.0,0.0,0.3617857142857143,97449.66,0.1808928571428571
57,SHP00058,Patna,Delhi,Milk,Refrigerated Truck,Urban Road,Hot,1781,6526,112.32,67,16.99,12335.91,1918.69,2407.56,1013.31,25211.59,27,14.155861875350926,0.0,0.0,0.6292592592592592,200041.92,0.3146296296296296
58,SHP00059,Ahmedabad,Ahmedabad,Milk,Refrigerated Truck,Urban Road,Foggy,1719,11576,98.27,63,68.83,7457.65,4863.11,5489.46,3789.07,77606.74,69,45.14644560791158,0.0,0.0,0.997536231884058,168926.13,0.4987681159420289
59,SHP00060,Nagpur,Bhubaneswar,Cheese,Refrigerated Truck,Urban Road,Hot,1509,4488,111.19,59,46.66,7057.1,4470.85,6505.15,1661.27,62433.33,13,41.37397614314116,33.66,0.7213887698242606,3.589230769230769,167785.71,2.155309769527515
60,SHP00061,Ahmedabad,Mumbai,Fresh Fruits,Refrigerated Truck,National Highway,Rainy,1972,13406,106.28,30,52.7,740.68,3423.26,1502.63,1118.79,34563.14,66,17.526947261663285,0.0,0.0,0.7984848484848486,209584.16,0.3992424242424243
61,SHP00062,Ranchi,Ranchi,Paneer,Refrigerated Truck,State Highway,Clear,1920,11208,110.72,45,11.37,2300.83,1972.3,5193.57,899.28,53401.52,28,27.813291666666665,0.0,0.0,0.4060714285714285,212582.4,0.2030357142857142
62,SHP00063,Bhopal,Indore,Milk,Non-Refrigerated Truck,State Highway,Hot,55,13052,111.52,54,17.19,6763.6,1682.03,5028.08,2483.96,57062.92,67,1037.5076363636365,0.0,0.0,0.2565671641791045,6133.599999999999,0.1282835820895522
63,SHP00064,Bhubaneswar,Jaipur,Meat,Mini Van,Urban Road,Hot,1878,12109,86.6,52,59.07,14728.83,4709.04,2848.44,2018.57,22302.39,53,11.875607028753992,6.07,0.1027594379549686,1.1145283018867924,162634.8,0.6086438699208806
64,SHP00065,Patna,Chennai,Curd,Mini Van,State Highway,Hot,740,2303,106.76,62,42.61,4127.17,2328.64,7967.53,1562.21,25136.17,20,33.967797297297295,22.61,0.5306266134710161,2.1305,79002.40000000001,1.330563306735508
65,SHP00066,Bhopal,Kolkata,Fresh Vegetables,Mini Van,Urban Road,Clear,1691,1734,91.8,63,7.07,648.7,4040.08,4498.52,1662.09,82177.31,17,48.596871673565936,0.0,0.0,0.4158823529411765,155233.8,0.2079411764705882
66,SHP00067,Jaipur,Mumbai,Fish,Non-Refrigerated Truck,Urban Road,Rainy,1910,13804,114.68,38,42.47,6819.75,4710.67,7216.01,1048.02,19637.6,13,10.281465968586389,29.47,0.693901577584177,3.266923076923077,219038.8,1.9804123272536271
67,SHP00068,Patna,Ahmedabad,Meat,Mini Van,Urban Road,Foggy,1304,7750,108.35,45,36.33,731.33,2561.63,2332.56,3061.69,94757.32,70,72.66665644171779,0.0,0.0,0.519,141288.4,0.2595
68,SHP00069,Bhopal,Lucknow,Fish,Mini Van,National Highway,Rainy,1474,17645,85.11,66,14.45,5375.21,3334.92,6241.94,3070.09,102449.09,43,69.504131614654,0.0,0.0,0.3360465116279069,125452.14,0.1680232558139534
69,SHP00070,Delhi,Ranchi,Ready-to-Eat Meals,Mini Van,State Highway,Hot,834,9040,112.82,34,44.32,5633.81,614.03,1555.05,420.14,18092.97,60,21.694208633093528,0.0,0.0,0.7386666666666667,94091.88,0.3693333333333333
70,SHP00071,Pune,Chandigarh,Fresh Fruits,Mini Van,Urban Road,Clear,666,1395,93.77,41,15.82,534.12,3332.39,1476.85,1096.41,113572.93,68,170.52992492492493,0.0,0.0,0.2326470588235294,62450.82,0.1163235294117647
71,SHP00072,Jaipur,Bhubaneswar,Meat,Refrigerated Truck,State Highway,Rainy,935,16443,97.5,34,59.18,11803.74,1232.4,2344.95,527.42,117420.64,31,125.58357219251336,28.18,0.4761743832375802,1.909032258064516,91162.5,1.1926033206510482
72,SHP00073,Delhi,Nagpur,Frozen Peas,Non-Refrigerated Truck,National Highway,Hot,2120,15737,103.37,52,46.06,13736.35,3418.52,6160.96,624.57,11182.82,32,5.274915094339622,14.060000000000002,0.3052540165002171,1.439375,219144.4,0.8723145082501086
73,SHP00074,Indore,Ahmedabad,Fresh Fruits,Mini Van,National Highway,Hot,210,10643,112.49,37,63.25,14982.03,685.02,7978.82,3842.25,5397.01,35,25.70004761904762,28.25,0.4466403162055335,1.8071428571428567,23622.9,1.126891586674195
74,SHP00075,Ahmedabad,Patna,Frozen Peas,Refrigerated Truck,Urban Road,Foggy,1267,7951,112.82,64,32.88,7877.33,2577.0,6676.81,1983.69,114028.1,43,89.998500394633,0.0,0.0,0.7646511627906978,142942.94,0.3823255813953489
75,SHP00076,Chandigarh,Raipur,Curd,Mini Van,National Highway,Clear,132,830,101.9,45,38.81,4945.98,2700.88,3972.84,1037.88,15396.7,58,116.64166666666668,0.0,0.0,0.6691379310344828,13450.8,0.3345689655172414
76,SHP00077,Raipur,Bhubaneswar,Curd,Mini Van,National Highway,Foggy,217,4051,94.5,49,55.72,10903.38,2520.89,5505.1,3872.35,35934.95,64,165.59884792626727,0.0,0.0,0.870625,20506.5,0.4353125
77,SHP00078,Ahmedabad,Hyderabad,Curd,Mini Van,National Highway,Rainy,393,14876,93.38,57,41.15,11178.71,3832.28,4322.27,2061.52,59554.41,26,151.53793893129773,15.15,0.3681652490886998,1.5826923076923076,36698.34,0.9754287783905038
78,SHP00079,Chennai,Nagpur,Fresh Fruits,Mini Van,National Highway,Foggy,61,14791,95.93,59,42.89,5998.23,3821.7,2731.87,2835.29,23206.16,60,380.4288524590164,0.0,0.0,0.7148333333333333,5851.7300000000005,0.3574166666666666
79,SHP00080,Chennai,Chennai,Curd,Mini Van,National Highway,Rainy,1603,14411,90.42,40,41.63,8700.99,3590.61,5311.12,3842.27,52774.41,63,32.92227698066126,0.0,0.0,0.6607936507936508,144943.26,0.3303968253968254
80,SHP00081,Delhi,Pune,Cheese,Refrigerated Truck,National Highway,Hot,499,17806,105.09,46,37.41,12415.67,3231.83,4707.3,3740.21,111637.61,50,223.72266533066133,0.0,0.0,0.7482,52439.91,0.3741
81,SHP00082,Bengaluru,Patna,Fish,Mini Van,State Highway,Clear,623,18402,100.83,39,58.79,3243.03,4541.08,4764.41,3868.51,107027.61,59,171.79391653290529,0.0,0.0,0.9964406779661016,62817.09,0.4982203389830508
82,SHP00083,Lucknow,Ranchi,Fish,Refrigerated Truck,National Highway,Clear,1774,5613,108.2,53,36.99,796.86,2963.07,1443.81,3405.92,22765.06,54,12.83261555806088,0.0,0.0,0.685,191946.8,0.3425
83,SHP00084,Pune,Ranchi,Paneer,Mini Van,State Highway,Hot,1240,3838,87.82,60,65.25,8325.6,1871.94,1847.38,2893.06,113581.95,67,91.59834677419354,0.0,0.0,0.9738805970149254,108896.8,0.4869402985074627
84,SHP00085,Jaipur,Ahmedabad,Frozen Peas,Non-Refrigerated Truck,Urban Road,Clear,514,15434,97.0,40,58.99,10133.69,484.11,4497.86,1074.21,86750.84,55,168.775953307393,3.990000000000002,0.0676385828106459,1.0725454545454547,49858.0,0.5700920186780503
85,SHP00086,Pune,Pune,Fish,Refrigerated Truck,National Highway,Foggy,1808,15497,92.2,37,51.09,8837.11,2771.91,3511.02,976.28,116633.98,61,64.50994469026548,0.0,0.0,0.8375409836065575,166697.6,0.4187704918032787
86,SHP00087,Jaipur,Hyderabad,Milk,Mini Van,National Highway,Rainy,1839,15971,101.06,60,65.11,9145.54,1293.16,3975.0,1604.66,25361.36,56,13.79084284937466,9.11,0.1399170634311165,1.1626785714285717,185849.34,0.651297817429844
87,SHP00088,Ahmedabad,Mumbai,Fish,Refrigerated Truck,State Highway,Rainy,56,8597,99.05,66,40.52,6199.85,2057.42,3730.29,3631.55,12483.57,33,222.9208928571429,7.520000000000003,0.1855873642645607,1.227878787878788,5546.8,0.7067330760716743
88,SHP00089,Indore,Bhopal,Milk,Mini Van,National Highway,Rainy,1268,6961,98.49,66,59.89,9946.67,439.74,5979.96,1214.24,52741.36,49,41.594132492113566,10.89,0.1818333611621305,1.2222448979591838,124885.32,0.7020391295606572
89,SHP00090,Mumbai,Indore,Paneer,Mini Van,State Highway,Foggy,368,8738,94.47,62,20.44,1120.76,3276.21,2249.92,1077.41,118721.69,47,322.6132880434783,0.0,0.0,0.4348936170212766,34764.96,0.2174468085106383
90,SHP00091,Delhi,Patna,Ready-to-Eat Meals,Refrigerated Truck,State Highway,Rainy,478,14104,106.81,38,8.96,2692.18,4456.11,7594.98,2431.15,57394.45,64,120.07207112970713,0.0,0.0,0.14,51055.18,0.07
91,SHP00092,Ranchi,Jaipur,Fresh Fruits,Mini Van,National Highway,Clear,1904,7641,99.45,32,50.58,6949.72,1760.68,4292.86,1156.53,79180.26,27,41.58627100840336,23.58,0.4661921708185053,1.8733333333333333,189352.8,1.1697627520759193
92,SHP00093,Bengaluru,Mumbai,Meat,Mini Van,Urban Road,Rainy,293,11123,91.07,42,24.51,14173.33,4063.41,3382.69,2443.76,66836.47,15,228.110819112628,9.510000000000002,0.3880048959608324,1.634,26683.51,1.0110024479804165
93,SHP00094,Chennai,Raipur,Ready-to-Eat Meals,Mini Van,Urban Road,Foggy,356,12721,101.42,57,47.15,9845.13,806.26,1148.23,2710.38,108000.87,53,303.37323033707867,0.0,0.0,0.8896226415094339,36105.52,0.4448113207547169
94,SHP00095,Indore,Bengaluru,Paneer,Mini Van,Urban Road,Clear,1882,14732,102.9,53,9.26,5651.54,3671.06,3485.87,1609.89,104965.82,19,55.77354941551541,0.0,0.0,0.4873684210526315,193657.8,0.2436842105263157
95,SHP00096,Ahmedabad,Chandigarh,Fish,Mini Van,State Highway,Hot,950,18708,85.64,39,68.98,7140.41,582.85,5380.29,1981.04,115584.29,68,121.66767368421053,0.980000000000004,0.0142070165265294,1.0144117647058823,81358.0,0.514309390616206
96,SHP00097,Chennai,Pune,Fish,Mini Van,State Highway,Clear,1670,17639,91.11,66,39.03,12761.7,1441.43,6580.84,2029.1,75147.99,44,44.99879640718563,0.0,0.0,0.8870454545454546,152153.7,0.4435227272727273
97,SHP00098,Delhi,Mumbai,Frozen Peas,Refrigerated Truck,National Highway,Foggy,798,16259,92.27,44,4.65,8365.81,1929.16,6124.04,745.75,69554.89,35,87.16151629072682,0.0,0.0,0.1328571428571428,73631.45999999999,0.0664285714285714
98,SHP00099,Chennai,Ranchi,Fresh Fruits,Non-Refrigerated Truck,State Highway,Clear,2098,2724,92.44,57,36.37,1194.07,952.58,5012.54,716.15,12303.29,25,5.864294566253575,11.369999999999996,0.3126202914489964,1.4548,193939.12,0.8837101457244981
99,SHP00100,Bengaluru,Indore,Paneer,Mini Van,Urban Road,Rainy,826,12880,92.17,66,57.7,6544.55,1085.59,4052.6,849.48,40474.16,35,49.00019370460049,22.700000000000003,0.3934142114384749,1.6485714285714286,76132.42,1.0209928200049516
100,SHP00101,Patna,Patna,Curd,Refrigerated Truck,National Highway,Foggy,243,6919,93.15,30,62.83,6126.43,3554.84,4678.14,3101.06,46371.06,27,190.8274074074074,35.83,0.5702689797867261,2.327037037037037,22635.45,1.4486530084118814
101,SHP00102,Nagpur,Delhi,Meat,Non-Refrigerated Truck,Urban Road,Hot,1942,1033,92.88,42,35.37,13548.4,659.69,7732.55,3141.13,62947.04,53,32.41351184346035,0.0,0.0,0.6673584905660377,180372.96,0.3336792452830188
102,SHP00103,Chennai,Bhopal,Ready-to-Eat Meals,Refrigerated Truck,National Highway,Rainy,1077,18875,111.52,33,12.56,4928.47,4682.76,7762.7,1888.81,19145.8,68,17.776973073351904,0.0,0.0,0.1847058823529412,120107.04,0.0923529411764706
103,SHP00104,Delhi,Hyderabad,Cheese,Non-Refrigerated Truck,Urban Road,Foggy,198,15018,94.59,69,65.62,1438.05,3888.14,6623.03,399.91,66637.0,41,336.550505050505,24.620000000000005,0.3751904907040537,1.6004878048780489,18728.82,0.9878391477910512
104,SHP00105,Bengaluru,Bhopal,Cheese,Non-Refrigerated Truck,National Highway,Foggy,1190,1363,95.49,59,70.72,5644.91,1912.32,2167.86,350.65,35314.23,34,29.67582352941177,36.72,0.5192307692307693,2.08,113633.1,1.2996153846153846
