Shipment_ID,Source_City,Destination_City,Food_Product,Vehicle_Type,Road_Type,Weather_Condition,Distance_km,Shipment_Weight_kg,Fuel_Price_INR_per_litre,Avg_Speed_kmph,Transit_Time_hours,Refrigeration_Cost_INR,Toll_Cost_INR,Driver_Cost_INR,Maintenance_Cost_INR,Total_Transportation_Cost_INR,Max_Allowable_Time_hours
SHP00014,Mumbai,Bhubaneswar,Paneer,Non-Refrigerated Truck,National Highway,Hot,96,19861,93.95,59,69.87,9936.42,2381.97,7925.23,427.95,99626.83,37
SHP00015,Delhi,Patna,Milk,Non-Refrigerated Truck,State Highway,Foggy,265,13233,104.26,41,19.6,13699.98,668.54,1320.1,2363.44,62364.38,49
SHP00016,Indore,Indore,Meat,Non-Refrigerated Truck,National Highway,Foggy,1496,13823,89.69,64,21.02,9419.88,2833.2,6387.31,788.01,73843.54,17
SHP00017,Indore,Raipur,Fresh Fruits,Refrigerated Truck,State Highway,Rainy,1719,14008,111.01,39,14.49,7340.57,3032.98,1171.96,524.15,34809.73,65
SHP00018,Raipur,Patna,Fresh Vegetables,Mini Van,National Highway,Rainy,1058,3113,96.63,55,6.94,1670.77,2908.8,2828.68,659.05,105777.1,59
SHP00019,Lucknow,Mumbai,Paneer,Mini Van,State Highway,Hot,1286,17368,85.58,34,59.06,2598.97,4831.61,5938.86,708.23,36970.09,20
SHP00020,Ranchi,Hyderabad,Fresh Fruits,Refrigerated Truck,National Highway,Rainy,1057,15171,94.16,52,4.38,1275.31,1734.25,2923.8,2725.94,115790.96,67
SHP00021,Patna,Raipur,Fish,Mini Van,State Highway,Clear,783,14140,108.55,38,35.54,10812.14,365.66,5275.18,2454.84,49353.28,45
SHP00022,Patna,Ranchi,Fresh Fruits,Refrigerated Truck,State Highway,Clear,2188,7380,110.78,62,10.25,12550.83,4614.81,7767.64,1484.8,55055.64,36
SHP00023,Indore,Raipur,Cheese,Mini Van,National Highway,Hot,364,13464,102.04,66,7.05,2884.36,1117.95,7123.13,1199.39,61577.59,39
SHP00024,Chennai,Jaipur,Frozen Peas,Refrigerated Truck,State Highway,Foggy,423,2210,93.82,59,67.56,5215.87,3797.36,6854.3,302.55,49099.16,46
SHP00025,Bengaluru,Bengaluru,Cheese,Non-Refrigerated Truck,Urban Road,Foggy,1336,18044,100.84,62,60.13,7447.06,1179.25,2354.79,887.89,71132.82,59
SHP00026,Pune,Delhi,Paneer,Mini Van,National Highway,Clear,417,6917,110.09,31,30.85,2570.4,4179.08,2902.48,2429.4,79746.22,20
SHP00027,Jaipur,Hyderabad,Fresh Vegetables,Non-Refrigerated Truck,State Highway,Foggy,427,16712,94.48,33,35.18,6534.77,4550.64,6513.08,2358.87,24804.44,71
SHP00028,Pune,Nagpur,Curd,Non-Refrigerated Truck,National Highway,Rainy,878,14495,96.56,55,63.03,14519.07,705.71,6113.47,3024.77,100515.08,29
SHP00029,Bhubaneswar,Raipur,Ready-to-Eat Meals,Mini Van,National Highway,Clear,874,16321,101.19,59,58.18,10927.65,906.92,3039.31,422.03,81024.6,39
SHP00030,Kolkata,Delhi,Ready-to-Eat Meals,Refrigerated Truck,State Highway,Hot,723,17114,111.61,64,51.03,2920.51,4641.39,4002.41,3241.91,90556.98,65
SHP00031,Nagpur,Delhi,Curd,Non-Refrigerated Truck,Urban Road,Foggy,1669,3686,102.46,39,40.49,1932.81,3899.38,5539.75,2452.59,113103.58,23
SHP00032,Bhubaneswar,Bhopal,Fresh Fruits,Non-Refrigerated Truck,National Highway,Hot,1344,7353,91.23,60,45.33,6954.69,386.7,4678.7,1309.71,98090.4,33
SHP00033,Jaipur,Nagpur,Curd,Refrigerated Truck,Urban Road,Hot,223,3062,87.67,44,30.75,14825.29,1074.56,4192.76,1911.66,75957.52,53
SHP00034,Mumbai,Hyderabad,Ready-to-Eat Meals,Refrigerated Truck,Urban Road,Foggy,85,18915,87.85,50,39.91,12002.6,2177.97,1700.79,3257.69,39912.77,36
SHP00035,Patna,Hyderabad,Milk,Mini Van,State Highway,Foggy,351,611,113.51,35,40.7,4750.29,4348.15,4044.72,2097.11,73645.66,45
SHP00036,Pune,Delhi,Fish,Mini Van,State Highway,Clear,935,13720,109.67,30,62.81,881.07,925.08,7945.14,2919.82,11868.72,53
SHP00037,Indore,Nagpur,Ready-to-Eat Meals,Refrigerated Truck,National Highway,Clear,2130,6407,107.98,39,18.87,6463.69,3675.87,3393.56,1807.54,76394.99,40
SHP00038,Ahmedabad,Chennai,Ready-to-Eat Meals,Non-Refrigerated Truck,State Highway,Hot,1951,6752,99.89,31,20.77,2827.79,601.83,5857.98,2321.53,54682.42,61
SHP00039,Patna,Lucknow,Milk,Refrigerated Truck,National Highway,Hot,1756,3649,105.18,38,18.34,3114.07,2442.41,4540.63,3381.47,84801.57,20
SHP00040,Chennai,Kolkata,Ready-to-Eat Meals,Mini Van,National Highway,Clear,1752,14340,88.82,46,43.38,2853.32,3699.17,6563.06,2137.62,37471.68,40
SHP00041,Nagpur,Lucknow,Fresh Fruits,Non-Refrigerated Truck,Urban Road,Hot,742,10454,103.63,45,51.27,10934.31,510.62,6237.92,2383.55,76212.53,71
SHP00042,Raipur,Mumbai,Milk,Non-Refrigerated Truck,State Highway,Rainy,644,2220,109.32,31,20.22,1019.7,1180.35,7610.83,1862.01,96660.78,13
SHP00043,Kolkata,Kolkata,Fish,Mini Van,State Highway,Foggy,923,18980,86.86,45,50.03,8688.63,4000.68,5555.17,1005.46,16919.28,32
SHP00044,Bhubaneswar,Hyderabad,Fresh Vegetables,Non-Refrigerated Truck,National Highway,Foggy,368,15315,93.88,64,46.71,11411.55,984.89,7634.37,3901.81,82933.47,62
SHP00045,Ahmedabad,Pune,Cheese,Refrigerated Truck,Urban Road,Rainy,807,12135,88.31,57,25.83,2767.93,3404.17,1290.85,376.11,116573.44,39
SHP00046,Kolkata,Ranchi,Fresh Vegetables,Mini Van,State Highway,Clear,1507,1021,92.81,42,19.63,13447.5,3282.5,3847.68,759.56,105727.12,70
SHP00047,Mumbai,Pune,Milk,Non-Refrigerated Truck,Urban Road,Clear,2156,11664,108.18,35,63.96,1632.95,2697.89,5726.73,2937.05,21611.0,16
SHP00048,Hyderabad,Bhubaneswar,Milk,Mini Van,Urban Road,Hot,226,2923,94.96,54,42.74,10399.24,1168.21,4362.08,3040.54,56415.74,37
SHP00049,Lucknow,Jaipur,Paneer,Non-Refrigerated Truck,National Highway,Hot,1615,5742,105.69,68,51.87,2993.48,2201.31,7525.23,878.74,32470.73,12
SHP00050,Kolkata,Lucknow,Frozen Peas,Refrigerated Truck,State Highway,Clear,358,7231,108.2,55,66.92,12187.46,3184.49,1983.53,2645.13,13258.53,59
SHP00051,Bhubaneswar,Bhopal,Frozen Peas,Mini Van,State Highway,Hot,203,17518,109.5,44,17.97,8785.27,4432.28,4361.49,3574.09,95865.35,31
SHP00052,Indore,Bhubaneswar,Milk,Non-Refrigerated Truck,State Highway,Rainy,1016,9864,111.2,31,27.84,9043.48,4029.7,6993.24,3261.35,100546.75,32
SHP00053,Mumbai,Ranchi,Cheese,Refrigerated Truck,Urban Road,Foggy,2081,13812,102.93,51,33.54,5517.33,3115.25,6302.14,316.57,80382.36,13
SHP00054,Lucknow,Raipur,Paneer,Refrigerated Truck,State Highway,Rainy,1213,866,93.42,57,19.84,4607.31,1296.66,6538.47,449.36,15488.51,24
SHP00055,Kolkata,Bhopal,Curd,Refrigerated Truck,National Highway,Foggy,434,6789,89.52,46,61.15,7218.16,1240.16,4236.95,2025.87,13874.1,60
SHP00056,Nagpur,Indore,Meat,Non-Refrigerated Truck,Urban Road,Foggy,673,15448,100.11,52,9.67,11486.85,4106.66,3369.0,1602.8,69251.8,39
SHP00057,Ranchi,Lucknow,Cheese,Non-Refrigerated Truck,State Highway,Hot,1106,4283,88.11,44,20.26,2939.19,3389.23,4544.39,645.09,108738.53,56
SHP00058,Patna,Delhi,Milk,Refrigerated Truck,Urban Road,Hot,1781,6526,112.32,67,16.99,12335.91,1918.69,2407.56,1013.31,25211.59,27
SHP00059,Ahmedabad,Ahmedabad,Milk,Refrigerated Truck,Urban Road,Foggy,1719,11576,98.27,63,68.83,7457.65,4863.11,5489.46,3789.07,77606.74,69
SHP00060,Nagpur,Bhubaneswar,Cheese,Refrigerated Truck,Urban Road,Hot,1509,4488,111.19,59,46.66,7057.1,4470.85,6505.15,1661.27,62433.33,13
SHP00061,Ahmedabad,Mumbai,Fresh Fruits,Refrigerated Truck,National Highway,Rainy,1972,13406,106.28,30,52.7,740.68,3423.26,1502.63,1118.79,34563.14,66
SHP00062,Ranchi,Ranchi,Paneer,Refrigerated Truck,State Highway,Clear,1920,11208,110.72,45,11.37,2300.83,1972.3,5193.57,899.28,53401.52,28
SHP00063,Bhopal,Indore,Milk,Non-Refrigerated Truck,State Highway,Hot,55,13052,111.52,54,17.19,6763.6,1682.03,5028.08,2483.96,57062.92,67
SHP00064,Bhubaneswar,Jaipur,Meat,Mini Van,Urban Road,Hot,1878,12109,86.6,52,59.07,14728.83,4709.04,2848.44,2018.57,22302.39,53
SHP00065,Patna,Chennai,Curd,Mini Van,State Highway,Hot,740,2303,106.76,62,42.61,4127.17,2328.64,7967.53,1562.21,25136.17,20
SHP00066,Bhopal,Kolkata,Fresh Vegetables,Mini Van,Urban Road,Clear,1691,1734,91.8,63,7.07,648.7,4040.08,4498.52,1662.09,82177.31,17
SHP00067,Jaipur,Mumbai,Fish,Non-Refrigerated Truck,Urban Road,Rainy,1910,13804,114.68,38,42.47,6819.75,4710.67,7216.01,1048.02,19637.6,13
SHP00068,Patna,Ahmedabad,Meat,Mini Van,Urban Road,Foggy,1304,7750,108.35,45,36.33,731.33,2561.63,2332.56,3061.69,94757.32,70
SHP00069,Bhopal,Lucknow,Fish,Mini Van,National Highway,Rainy,1474,17645,85.11,66,14.45,5375.21,3334.92,6241.94,3070.09,102449.09,43
SHP00070,Delhi,Ranchi,Ready-to-Eat Meals,Mini Van,State Highway,Hot,834,9040,112.82,34,44.32,5633.81,614.03,1555.05,420.14,18092.97,60
SHP00071,Pune,Chandigarh,Fresh Fruits,Mini Van,Urban Road,Clear,666,1395,93.77,41,15.82,534.12,3332.39,1476.85,1096.41,113572.93,68
SHP00072,Jaipur,Bhubaneswar,Meat,Refrigerated Truck,State Highway,Rainy,935,16443,97.5,34,59.18,11803.74,1232.4,2344.95,527.42,117420.64,31
SHP00073,Delhi,Nagpur,Frozen Peas,Non-Refrigerated Truck,National Highway,Hot,2120,15737,103.37,52,46.06,13736.35,3418.52,6160.96,624.57,11182.82,32
SHP00074,Indore,Ahmedabad,Fresh Fruits,Mini Van,National Highway,Hot,210,10643,112.49,37,63.25,14982.03,685.02,7978.82,3842.25,5397.01,35
SHP00075,Ahmedabad,Patna,Frozen Peas,Refrigerated Truck,Urban Road,Foggy,1267,7951,112.82,64,32.88,7877.33,2577.0,6676.81,1983.69,114028.1,43
SHP00076,Chandigarh,Raipur,Curd,Mini Van,National Highway,Clear,132,830,101.9,45,38.81,4945.98,2700.88,3972.84,1037.88,15396.7,58
SHP00077,Raipur,Bhubaneswar,Curd,Mini Van,National Highway,Foggy,217,4051,94.5,49,55.72,10903.38,2520.89,5505.1,3872.35,35934.95,64
SHP00078,Ahmedabad,Hyderabad,Curd,Mini Van,National Highway,Rainy,393,14876,93.38,57,41.15,11178.71,3832.28,4322.27,2061.52,59554.41,26
SHP00079,Chennai,Nagpur,Fresh Fruits,Mini Van,National Highway,Foggy,61,14791,95.93,59,42.89,5998.23,3821.7,2731.87,2835.29,23206.16,60
SHP00080,Chennai,Chennai,Curd,Mini Van,National Highway,Rainy,1603,14411,90.42,40,41.63,8700.99,3590.61,5311.12,3842.27,52774.41,63
SHP00081,Delhi,Pune,Cheese,Refrigerated Truck,National Highway,Hot,499,17806,105.09,46,37.41,12415.67,3231.83,4707.3,3740.21,111637.61,50
SHP00082,Bengaluru,Patna,Fish,Mini Van,State Highway,Clear,623,18402,100.83,39,58.79,3243.03,4541.08,4764.41,3868.51,107027.61,59
SHP00083,Lucknow,Ranchi,Fish,Refrigerated Truck,National Highway,Clear,1774,5613,108.2,53,36.99,796.86,2963.07,1443.81,3405.92,22765.06,54
SHP00084,Pune,Ranchi,Paneer,Mini Van,State Highway,Hot,1240,3838,87.82,60,65.25,8325.6,1871.94,1847.38,2893.06,113581.95,67
SHP00085,Jaipur,Ahmedabad,Frozen Peas,Non-Refrigerated Truck,Urban Road,Clear,514,15434,97.0,40,58.99,10133.69,484.11,4497.86,1074.21,86750.84,55
SHP00086,Pune,Pune,Fish,Refrigerated Truck,National Highway,Foggy,1808,15497,92.2,37,51.09,8837.11,2771.91,3511.02,976.28,116633.98,61
SHP00087,Jaipur,Hyderabad,Milk,Mini Van,National Highway,Rainy,1839,15971,101.06,60,65.11,9145.54,1293.16,3975.0,1604.66,25361.36,56
SHP00088,Ahmedabad,Mumbai,Fish,Refrigerated Truck,State Highway,Rainy,56,8597,99.05,66,40.52,6199.85,2057.42,3730.29,3631.55,12483.57,33
SHP00089,Indore,Bhopal,Milk,Mini Van,National Highway,Rainy,1268,6961,98.49,66,59.89,9946.67,439.74,5979.96,1214.24,52741.36,49
SHP00090,Mumbai,Indore,Paneer,Mini Van,State Highway,Foggy,368,8738,94.47,62,20.44,1120.76,3276.21,2249.92,1077.41,118721.69,47
SHP00091,Delhi,Patna,Ready-to-Eat Meals,Refrigerated Truck,State Highway,Rainy,478,14104,106.81,38,8.96,2692.18,4456.11,7594.98,2431.15,57394.45,64
SHP00092,Ranchi,Jaipur,Fresh Fruits,Mini Van,National Highway,Clear,1904,7641,99.45,32,50.58,6949.72,1760.68,4292.86,1156.53,79180.26,27
SHP00093,Bengaluru,Mumbai,Meat,Mini Van,Urban Road,Rainy,293,11123,91.07,42,24.51,14173.33,4063.41,3382.69,2443.76,66836.47,15
SHP00094,Chennai,Raipur,Ready-to-Eat Meals,Mini Van,Urban Road,Foggy,356,12721,101.42,57,47.15,9845.13,806.26,1148.23,2710.38,108000.87,53
SHP00095,Indore,Bengaluru,Paneer,Mini Van,Urban Road,Clear,1882,14732,102.9,53,9.26,5651.54,3671.06,3485.87,1609.89,104965.82,19
SHP00096,Ahmedabad,Chandigarh,Fish,Mini Van,State Highway,Hot,950,18708,85.64,39,68.98,7140.41,582.85,5380.29,1981.04,115584.29,68
SHP00097,Chennai,Pune,Fish,Mini Van,State Highway,Clear,1670,17639,91.11,66,39.03,12761.7,1441.43,6580.84,2029.1,75147.99,44
SHP00098,Delhi,Mumbai,Frozen Peas,Refrigerated Truck,National Highway,Foggy,798,16259,92.27,44,4.65,8365.81,1929.16,6124.04,745.75,69554.89,35
SHP00099,Chennai,Ranchi,Fresh Fruits,Non-Refrigerated Truck,State Highway,Clear,2098,2724,92.44,57,36.37,1194.07,952.58,5012.54,716.15,12303.29,25
SHP00100,Bengaluru,Indore,Paneer,Mini Van,Urban Road,Rainy,826,12880,92.17,66,57.7,6544.55,1085.59,4052.6,849.48,40474.16,35
SHP00101,Patna,Patna,Curd,Refrigerated Truck,National Highway,Foggy,243,6919,93.15,30,62.83,6126.43,3554.84,4678.14,3101.06,46371.06,27
SHP00102,Nagpur,Delhi,Meat,Non-Refrigerated Truck,Urban Road,Hot,1942,1033,92.88,42,35.37,13548.4,659.69,7732.55,3141.13,62947.04,53
SHP00103,Chennai,Bhopal,Ready-to-Eat Meals,Refrigerated Truck,National Highway,Rainy,1077,18875,111.52,33,12.56,4928.47,4682.76,7762.7,1888.81,19145.8,68
SHP00104,Delhi,Hyderabad,Cheese,Non-Refrigerated Truck,Urban Road,Foggy,198,15018,94.59,69,65.62,1438.05,3888.14,6623.03,399.91,66637.0,41
SHP00105,Bengaluru,Bhopal,Cheese,Non-Refrigerated Truck,National Highway,Foggy,1190,1363,95.49,59,70.72,5644.91,1912.32,2167.86,350.65,35314.23,34
SHP00106,Nagpur,Bhubaneswar,Cheese,Non-Refrigerated Truck,Urban Road,Hot,287,14460,92.99,32,8.3,1136.52,3218.05,7539.55,3848.89,116520.13,26
SHP00107,Pune,Chennai,Paneer,Refrigerated Truck,State Highway,Hot,1211,3526,114.03,49,9.31,12568.22,3653.2,5535.21,1146.8,28745.04,71
SHP00108,Jaipur,Delhi,Curd,Non-Refrigerated Truck,Urban Road,Foggy,779,11975,101.06,64,42.46,9058.0,3053.52,4344.6,921.53,25015.6,33
SHP00109,Patna,Patna,Fresh Vegetables,Mini Van,National Highway,Hot,507,18092,103.32,56,40.31,7305.95,3167.64,4930.03,613.78,64151.13,51
SHP00110,Patna,Bhopal,Cheese,Mini Van,Urban Road,Hot,2092,13714,107.06,41,44.03,5717.75,4596.65,4334.95,2887.72,111446.96,48
SHP00111,Lucknow,Bengaluru,Ready-to-Eat Meals,Non-Refrigerated Truck,State Highway,Rainy,1804,18494,95.01,45,25.56,6556.02,4429.25,4347.41,2991.46,17740.62,29
SHP00112,Bhopal,Bhopal,Fresh Vegetables,Non-Refrigerated Truck,National Highway,Foggy,763,11934,114.06,61,7.42,11923.69,4586.26,4018.46,3845.88,110536.02,24
SHP00113,Pune,Bengaluru,Meat,Mini Van,State Highway,Clear,1660,17981,89.57,62,43.46,3110.21,4449.01,7270.93,3417.99,17398.28,31
SHP00114,Raipur,Bhubaneswar,Frozen Peas,Refrigerated Truck,Urban Road,Rainy,393,17136,98.73,45,14.3,1535.86,3489.89,4190.89,392.2,24779.07,45
SHP00115,Kolkata,Lucknow,Curd,Refrigerated Truck,National Highway,Foggy,1412,11644,89.36,58,27.21,8645.01,2560.43,2541.0,3310.05,23213.23,48
SHP00116,Bengaluru,Ahmedabad,Frozen Peas,Mini Van,Urban Road,Foggy,1537,933,108.71,56,43.61,12954.14,2539.44,2601.28,3879.22,31484.21,15
SHP00117,Pune,Patna,Ready-to-Eat Meals,Refrigerated Truck,National Highway,Rainy,712,18840,88.22,60,18.18,8652.43,3903.49,1921.28,2245.24,91381.34,15
SHP00118,Bhopal,Kolkata,Fresh Fruits,Refrigerated Truck,State Highway,Hot,295,19672,101.62,53,40.89,12044.25,4634.98,4879.96,905.58,53843.46,20
SHP00119,Patna,Mumbai,Fresh Fruits,Non-Refrigerated Truck,State Highway,Clear,1327,9914,88.14,60,52.6,13445.01,622.69,3273.75,1159.4,98314.87,23
SHP00120,Chandigarh,Hyderabad,Cheese,Refrigerated Truck,State Highway,Clear,2164,583,98.58,38,8.47,1614.87,4408.77,5041.83,3399.23,42746.27,62
SHP00121,Kolkata,Chennai,Ready-to-Eat Meals,Mini Van,Urban Road,Foggy,1606,6276,93.41,65,46.12,9043.11,4278.46,7516.01,3876.14,58962.11,33
SHP00122,Bhopal,Pune,Frozen Peas,Refrigerated Truck,National Highway,Foggy,1607,3545,112.1,35,38.64,12574.98,620.43,7689.43,3837.09,61964.23,43
SHP00123,Pune,Lucknow,Paneer,Non-Refrigerated Truck,State Highway,Clear,1264,8128,86.59,59,10.63,9831.33,3351.43,3140.59,2134.59,58543.82,24
SHP00124,Mumbai,Hyderabad,Fresh Vegetables,Mini Van,Urban Road,Foggy,354,4515,104.5,55,52.03,9077.31,4865.07,2541.47,2582.13,50796.49,50
SHP00125,Lucknow,Ranchi,Cheese,Mini Van,Urban Road,Clear,842,3058,105.86,69,25.14,11927.1,4287.96,1387.38,2775.22,45265.4,63
SHP00126,Bhopal,Mumbai,Fresh Vegetables,Mini Van,National Highway,Hot,456,10997,111.67,36,16.4,10755.33,501.64,2910.23,1869.86,102359.61,53
SHP00127,Hyderabad,Raipur,Fish,Non-Refrigerated Truck,State Highway,Clear,381,2776,111.33,37,23.21,7773.53,4640.9,4544.06,3773.19,51849.03,71
SHP00128,Indore,Bhopal,Fish,Mini Van,Urban Road,Clear,2087,4893,114.31,40,41.14,1138.48,1030.81,5218.25,3330.3,20139.94,18
SHP00129,Indore,Delhi,Fish,Non-Refrigerated Truck,State Highway,Clear,1846,19549,92.62,32,43.44,9393.39,547.88,1687.12,797.63,27296.28,57
SHP00130,Chandigarh,Hyderabad,Fresh Fruits,Non-Refrigerated Truck,National Highway,Foggy,600,17388,93.24,33,15.54,3591.04,1293.63,2718.47,789.99,85440.32,69
SHP00131,Pune,Bengaluru,Milk,Refrigerated Truck,State Highway,Hot,1410,10476,96.92,62,67.69,4184.25,2519.55,1293.69,2374.74,119243.49,34
SHP00132,Delhi,Bhopal,Ready-to-Eat Meals,Mini Van,State Highway,Rainy,1103,7083,101.13,49,26.37,10353.39,4113.08,6433.5,2282.9,83104.89,51
SHP00133,Delhi,Bhubaneswar,Fresh Fruits,Refrigerated Truck,Urban Road,Rainy,489,10300,96.01,34,22.24,7069.88,1482.17,2891.13,369.62,14814.9,25
SHP00134,Bhopal,Indore,Ready-to-Eat Meals,Refrigerated Truck,Urban Road,Clear,307,17824,107.21,63,16.7,10893.31,2073.21,4983.88,1985.22,65181.6,50
SHP00135,Jaipur,Pune,Meat,Non-Refrigerated Truck,National Highway,Foggy,832,4757,85.26,43,12.2,6192.1,877.18,4221.52,3808.29,75176.38,28
SHP00136,Chennai,Patna,Frozen Peas,Refrigerated Truck,National Highway,Rainy,1864,5202,85.53,42,70.78,13115.46,1599.45,4341.54,1948.07,70788.15,18
SHP00137,Pune,Chennai,Fish,Refrigerated Truck,National Highway,Rainy,283,5453,106.48,53,49.88,6692.49,4529.94,5659.82,2786.4,23678.3,59
SHP00138,Hyderabad,Ranchi,Fish,Refrigerated Truck,Urban Road,Clear,2123,2412,111.49,59,57.52,7660.44,3467.81,3872.87,2904.87,81603.68,52
SHP00139,Ahmedabad,Delhi,Meat,Mini Van,National Highway,Clear,442,16856,108.3,69,31.3,2330.92,3434.84,2748.9,412.56,7132.74,71
SHP00140,Jaipur,Ranchi,Curd,Refrigerated Truck,National Highway,Foggy,511,10463,88.51,40,32.19,7801.69,1399.23,3866.87,1331.61,92146.78,30
SHP00141,Bengaluru,Indore,Milk,Non-Refrigerated Truck,Urban Road,Rainy,1801,12807,113.05,38,71.11,3977.1,901.83,6766.34,3770.85,35383.58,20
SHP00142,Delhi,Ahmedabad,Curd,Mini Van,National Highway,Clear,888,901,100.66,42,17.65,11563.22,4459.66,4934.63,2187.83,115820.81,66
SHP00143,Lucknow,Indore,Fresh Fruits,Non-Refrigerated Truck,Urban Road,Hot,159,14255,107.27,42,26.23,10853.65,4729.5,7836.32,3921.76,48515.37,14
SHP00144,Indore,Patna,Curd,Mini Van,National Highway,Hot,1548,10252,91.03,61,17.27,729.73,457.2,6495.04,3611.5,13001.69,68
SHP00145,Patna,Mumbai,Ready-to-Eat Meals,Mini Van,Urban Road,Hot,1401,16143,101.46,36,23.22,7660.28,2744.78,6779.21,1338.07,118912.03,58
SHP00146,Jaipur,Raipur,Paneer,Mini Van,State Highway,Clear,255,10205,94.9,40,49.12,1158.21,2311.14,6478.66,1287.33,77982.37,32
SHP00147,Raipur,Pune,Ready-to-Eat Meals,Non-Refrigerated Truck,Urban Road,Foggy,1144,3847,114.24,30,25.01,8754.58,3744.34,4096.24,1612.96,69858.05,49
SHP00148,Raipur,Bhopal,Cheese,Refrigerated Truck,Urban Road,Hot,259,18233,99.23,57,63.54,13573.76,1648.62,6624.97,2183.4,45865.16,24
SHP00149,Indore,Delhi,Fresh Fruits,Mini Van,Urban Road,Hot,234,15384,107.67,37,7.31,13073.95,3178.77,5415.7,3618.84,57139.67,22
SHP00150,Pune,Hyderabad,Fish,Non-Refrigerated Truck,National Highway,Hot,1456,19971,103.1,44,28.12,4035.32,596.4,2579.73,2155.15,56274.09,34
SHP00151,Mumbai,Bhopal,Fresh Fruits,Mini Van,Urban Road,Clear,940,2730,87.83,34,62.53,2531.65,4150.18,1664.76,3198.74,36108.88,25
SHP00152,Chennai,Chandigarh,Curd,Refrigerated Truck,Urban Road,Clear,448,2291,101.29,51,46.25,11970.43,1345.75,4491.95,2441.92,44602.38,29
SHP00153,Raipur,Lucknow,Fresh Vegetables,Mini Van,National Highway,Clear,1732,4619,101.21,49,56.43,8419.65,1706.84,5080.37,1147.11,112954.45,21
SHP00154,Bengaluru,Ranchi,Fresh Fruits,Non-Refrigerated Truck,State Highway,Hot,1027,16454,106.47,33,26.01,6645.52,2015.57,3445.88,1860.14,24656.03,37
SHP00155,Raipur,Raipur,Frozen Peas,Mini Van,Urban Road,Clear,363,10975,94.66,54,29.11,12252.22,1191.76,5407.49,1826.72,61752.74,17
SHP00156,Raipur,Raipur,Fresh Fruits,Non-Refrigerated Truck,National Highway,Clear,277,10492,110.82,45,64.4,4161.42,4082.71,2055.33,3971.56,109050.92,34
SHP00157,Raipur,Kolkata,Ready-to-Eat Meals,Refrigerated Truck,State Highway,Foggy,1219,16615,103.68,69,54.97,3756.82,529.64,6644.26,2334.58,93354.61,51
SHP00158,Mumbai,Bengaluru,Fresh Vegetables,Refrigerated Truck,Urban Road,Clear,976,13164,86.18,56,30.13,9373.01,4680.96,3805.47,580.12,119665.87,59
SHP00159,Mumbai,Nagpur,Milk,Mini Van,State Highway,Rainy,2158,4544,106.21,58,18.64,4452.49,4666.84,6081.6,2426.19,94865.86,16
